,event,Title,Location,Date,Summary,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,year,month,week,day
191,192,Southern Union State Community College,"Opelika, Alabama",2011-04-06,"On April 6, 2011, a 34-year old man went to the Opelika campus of Southern Union State Community College in Alabama, where his former wife was a student. He fired into a car and shot and killed his mother-in-law and injured his estranged wife, her grandmother, and her 4-year old daughter. Hours later returned to the crime scene and confessed to a photographer that he was the shooter. He was later arrested by the police.",1,3,4,Yes,White American or European American,Male,32.66240106,-85.37706931,2011,4,14,Wednesday
192,193,Youngstown State University,"Youngstown, Ohio",2011-02-06,"On February 6, 2011, two 19-year old man and a 22-year old man were involved in an argument over a girl in a fraternity house party in Youngstown State University in Ohio. A dispute ensued and one man was thrown out of the party and the other followed. They returned sometime later and began spraying bullets into the crowd, killing one student and injuring eleven others.",1,11,12,Unknown,Black American or African American,Male,41.09933958,-80.64631705,2011,2,5,Sunday
193,194,Tucson shooting,"Tucson, Arizona",2011-01-08,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.",6,13,19,Yes,white,Male,32.2217429,-110.926479,2011,1,1,Saturday
194,195,Hartford Beer Distributor shooting,"Manchester, Connecticut",2010-08-03,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.",9,2,11,No,black,Male,41.775932399999995,-72.5214755,2010,8,31,Tuesday
195,196,University of Alabama in Huntsville,"Huntsville, Alabama",2010-02-12,"On February 12, 2010, a 44-year old professor went to a faculty meeting at the University of Alabama in Huntsville. She sat quietly at the meeting for 30 or 40 minutes before pulling out a gun, killing three of her coworkers and injuring three others. She was later arrested outside the building.",0,3,6,No,White American or European American,Female,34.72827538,-86.67230550000001,2010,2,6,Friday
196,197,Coffee shop police killings,"Parkland, Washington",2009-11-29,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.",4,1,5,Yes,black,Male,47.155846000000004,-122.437031,2009,11,48,Sunday
197,198,Parkland Coffee Shop,"Lakewood, Washington",2009-11-29,"On November 29, 2009, a 37-year old convicted felon who was out on bail, entered a coffee shop in Lakewood, Washington. The gunman shot and killed four off-duty police officers who had gone there to use their laptops before their shifts. After a two-day manhunt, the gunman was shot and killed by a police officer in south Seattle.",5,0,4,Yes,Black American or African American,Male,47.16267579,-122.5296574,2009,11,48,Sunday
198,199,Fort Hood Army Base,"Fort Hood, Texas",2009-11-05,"On November 5, 2009, a 39-year old U.S. Army psychiatrist fatally shot thirteen people and injured thirty-two at Fort Hood Army Base located in Killeen, Texas. He was shot and wounded by another soldier and arrested as he fell unconscious.",13,32,45,Yes,White American or European American,Male,31.13814354,-97.77797804,2009,11,45,Thursday
199,200,Binghamton shootings,"Binghamton, New York",2009-04-03,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",14,4,18,Yes,Asian,Male,42.0986867,-75.9179738,2009,4,14,Friday
200,201,Carthage nursing home shooting,"Carthage, North Carolina",2009-03-29,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",8,3,11,Yes,white,Male,35.345802,-79.41705429999999,2009,3,13,Sunday
