,event,Title,Location,Date,Summary,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,year,month,week,day
252,253,Milwaukee Post Office,"Milwaukee, Wisconsin",1997-12-19,"On December 19, 1997, a 37-year-old postal worker in Milwaukee, Wisconsin began shooting at the post office where he was employed. He shot and killed a coworker and wounded his supervisor and another coworker before committing suicide.",2,2,3,No,Black American or African American,Male,43.06420322,-87.96724385,1997,12,51,Friday
253,254,Caltrans Maintenance Yard,"Orange, California",1997-12-18,"On December 18, 1997, a 41-year-old recently fired Caltrans employee arrived to his former office and began shooting at his former coworkers and supervisors. He killed four employees and wounded another and a police officer before being killed by police.",5,2,6,No,Some other race,Male,33.78935598,-117.820412,1997,12,51,Thursday
254,255,Heath High School,"West Paducah, Kentucky",1997-12-01,"On December 1, 1997, a 14-year-old student at Heath High School in West Paducah, Kentucky brought stolen guns to campus and began shooting at a prayer group that met every day, killing three students and wounding five others before being arrested. The shooter was later found to have been suffering from paranoid schizophrenia.",3,5,8,Yes,White American or European American,Male,37.08506,-88.74422,1997,12,49,Monday
255,256,Pearl High School,"Pearl, Mississippi",1997-10-01,"On October 1, 1997, a 16-year-old student of Pearl High School in Pearl, Mississippi stabbed his mother to death before heading to school. Once there, he shot and killed his ex-girlfriend and her friend before wounding an additional seven other students. He was stopped while fleeing the incident by a principal with a handgun and was arrested.",2,7,9,Yes,White American or European American,Male,32.27492783,-90.09470655,1997,10,40,Wednesday
256,257,R.E. Phelon Company,"Aiken, South Carolina",1997-09-15,"On September 15, 1997, a 43-year-old former employee of the R.E. Phelon Company in Aiken, South Carolina arrived at the plant and shot the security guard in the parking lot. He then entered the facility and began shooting his former coworkers, killing four and wounding two others. He attempted suicide with insecticide, but was unsuccessful and eventually arrested.",4,3,7,No,Black American or African American,Male,33.47524551,-81.72595949,1997,9,38,Monday
257,258,Bethel Regional High School,"Bethel, Alaska",1997-02-19,"On February 19, 1997, a 16-year-old student at Bethel Regional High School in Bethel, Alaska arrived on campus and shot a popular student, killing him. He later shot and killed the school's principal and wounded two others before being arrested.",2,2,4,Yes,White American or European American,Male,60.79053882,-161.7927517,1997,2,8,Wednesday
258,259,San Diego State University,"San Diego, California",1996-08-15,"On August 15, 1996, a 36-year-old mechanical engineering graduate student at San Diego State University in San Diego, California was set to defend his Master's thesis for the second time. Instead, he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense, killing all three. He was found and arrested in the room, where he had planned to commit suicide but could not do it.",3,0,3,No,White American or European American,Male,32.86357277,-117.1281628,1996,8,33,Thursday
259,260,Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",1996-02-09,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",6,1,7,Yes,black,Male,26.122308399999998,-80.14337859999999,1996,2,6,Friday
260,261,Frontier Junior High School,"Moses Lake, Washington",1996-02-02,"On February 2, 1996, a 14-year-old student walked into his algebra class at Frontier Junior High School in Moses Lake, Washington shooting and killing his teacher before killing two students, one who had bullied him, and wounding another student in the arm. He then held the class hostage and was tackled and held by a teacher until he was apprehended by police.",3,1,4,Yes,White American or European American,Male,47.12189424,-119.2750699,1996,2,5,Friday
261,262,Richland High School,"Lynnville, Tennessee",1995-11-15,"On November 15, 1995, a 17-year-old students at Richland High School in Lynnville, Tennessee arrived to school and began shooting. He killed a teacher, a student and wounded another teacher before the gun was wrestled away from him by another teacher.",2,1,3,Yes,White American or European American,Male,35.37810374,-87.00610559,1995,11,46,Wednesday
262,263,Walter Rossler Company,"Corpus Christi, Texas",1995-04-03,"On April 3, 1995, a disgruntled former metallurgist of the Walter Rossler Company in Corpus Christi, Texas entered the office and began shooting. He killed three employees, the owner and his wife before killing himself in another room.",6,0,5,No,Unknown,Male,27.73907518,-97.43073352,1995,4,14,Monday
263,264,Montclair Post Office,"Montclair, New Jersey",1995-03-21,"On March 21, 1995, a 29-year-old former postal laborer entered a post office in Montclair, New Jersey, and robbed the employees at gunpoint. He then killed two postal workers, two customers and wounded another man before fleeing the scene. He was later arrested in his apartment.",4,1,5,No,White American or European American,Male,40.826184000000005,-74.20862,1995,3,12,Tuesday
264,265,Downtown Chapel Hill,"Chapel Hill, North Carolina",1995-01-26,"On January 26, 1995, a 26-year-old mentally ill law student in Chapel Hill, North Carolina, was permitted to take unsupervised off-campus trips outside his mental hospital. During this particular trip, he opened fire on passersby, killing two and wounding two others before being arrested. He was found not guilty by reason of insanity and later won a lawsuit against a psychiatrist.",2,2,4,Yes,White American or European American,Male,35.92681467,-79.03850407,1995,1,4,Thursday
265,266,Massachusetts Abortion Clinic,"Brookline, Massachusetts",1994-12-30,"On December 30, 1994 a man entered a Planned Parenthood clinic, shot and killed the receptionist, and opened fire in the clinic, wounding three others. Several minutes later he entered a Preterm Health Services clinic and shot three people, killing one. ",2,5,7,Yes,White American or European American,Male,42.32427392,-71.14080012,1994,12,52,Friday
266,267,Wickliffe Middle School,"Wickliffe, Ohio",1994-11-07,"On November 7, 1994, a 37-year-old man approached the Wickliffe Middle School in Wickliffe, Ohio and shot, killing a custodian. He then wounded a school administrator, a teacher and a police officer before being detained by the police.",1,3,4,Yes,White American or European American,Male,41.60713735,-81.46902046,1994,11,45,Monday
267,268,Fairchild Air Force Base Hospital,"Fairchild Air Force Base, Washington",1994-06-20,"On June 20, 1994, a 20-year-old discharged technician at the Fairchild Air Force Base Hospital outside of Spokane, Washington entered the office of the psychologist and psychiatrist that first diagnosed him to be unfit for service, shot and killed them both. He continued shooting at patients and visitors at the hospital, killing a young boy, the wife of a retired serviceman and wounding twenty-three more before being killed by a military police officer.",5,23,27,Yes,White American or European American,Male,47.618456,-117.644099,1994,6,25,Monday
268,269,"Residence in Union, Kentucky","Union, Kentucky",1994-05-26,"On May 26, 1994, a 17-year-old high school student awoke in the early hours of the day to kill his parents and his sisters in their home. He then kidnapped his prom date at gunpoint and brought her to a classroom, where he held her, a teacher and 22 students hostage before being detained by police.",4,0,4,No,White American or European American,Male,38.95130818,-84.67066339,1994,5,21,Thursday
269,270,Chelsea High School,"Chelsea, Michigan",1993-12-16,"On December 16, 1993, after a meeting with school officials in regards to a harassment complaint made by a student, a 39-year-old Chemistry teacher at Chelsea High School in Chelsea, Michigan stormed off with his wife and went home. Still enraged by the allegation, he returned to the school, killing the superintendent and wounding the principal and a teacher before being arrested.",1,2,3,Yes,White American or European American,Male,42.31319376,-84.01868108,1993,12,50,Thursday
270,271,Chuck E. Cheese in Aurora,"Aurora, Colorado",1993-12-14,"On December 14, 1993, a 19-year-old fired Chuck E. Cheese's employee in Aurora, Colorado visited his former workplace and waited until closing to confront his ex-coworkers. He then opened fire, killing three teenaged employees, one 50-year-old employee, and wounding another before being arrested.",4,1,5,Yes,Black American or African American,Male,39.69892933,-104.7871863,1993,12,50,Tuesday
271,272,Long Island Rail Road Commuter Train,"Garden City, New York",1993-12-07,"On December 7, 1993, a 34-year-old mentally unstable man boarded a Lond Island Rail Road commuter train headed to Nassau County in New York. He began shooting in the train car, killing six and wounding nineteen before being apprehended by three passengers in the train.",6,19,25,No,Black American or African American,Male,40.72662266,-73.644712,1993,12,49,Tuesday
272,273,Central Middle School,"Sheridan, Wyoming",1993-09-17,"On September 17, 1993, a 29-year-old man recently discharged from the Navy approached a physical education class at Central Middle School in Sheridan, Wyoming and opened fire on its 29 students. He wounded four students before committing suicide in front of the class.",1,4,4,No,White American or European American,Male,44.79051074,-106.9599165,1993,9,37,Friday
273,274,Luigi's Restaurant in Fayetteville,"Fayetteville, North Carolina",1993-08-06,"On August 6, 1993, a 22-year old army sergeant opened fire inside Luigi's Restaurant in Fayetteville, North Carolina, killing four people and injuring eight more. The shooter was ranting about gays in the military before he was shot and arrested by police.",4,8,12,No,White American or European American,Male,35.07997086,-79.03796125,1993,8,31,Friday
274,275,Weber State University,"Ogden, Utah",1993-07-08,"On July 8, 1993, a 28-year old student shot and injured three people at a grievance hearing at Weber State University in Odgen, Utah. One of the injured was a State police officer who was able to shoot back, killing the perpetrator.",1,3,3,No,Asian American,Male,41.2281367,-111.96753170000001,1993,7,27,Thursday
275,276,Offices of Pettit & Martin in San Francisco,"San Francisco, California",1993-07-01,"On July 1, 1993, a 55-year-old failing entrepreneur entered the law offices of Pettit & Martin in the financial district of San Francisco, California. He then opened fire on the office, killing eight and wounding six others before turning the gun on himself. He had apparently targeted the law firm due to his deep hatred for lawyers arising from his failed business endeavors and a real estate consultation with the firm years before.",9,6,14,No,White American or European American,Male,37.75457839,-122.44243429999999,1993,7,26,Thursday
276,277,Dearborn Post Office,"Dearborn, Michigan",1993-05-06,"On May 6, 1993, a 45-year-old postal mechanic, upset with supervisors and the management of his post office in Dearborn, Michigan, arrived to work and began shooting. He killed a supervisor and wounded two other postal employees before committing suicide.",2,2,3,Unknown,Unknown,Male,42.31269522,-83.21293244,1993,5,18,Thursday
277,278,Dana Point Post Office,"Dana Point, California",1993-05-06,"On May 6, 1993, after murdering his mother and her dog, a 38-year-old postal employee who had been fired five months prior arrived at the post office in Dana Point, California and shot and killed a former coworker and wounded another. He later shot a man in his garage, a woman motorist, robbed and shot two others at an ATM, totaling five injured victims and one death.",1,5,6,Yes,White American or European American,Male,33.47316083,-117.696399,1993,5,18,Thursday
278,279,Simon's Rock College of Bard,"Great Barrington, Massachusetts",1992-12-14,"On December 14, 1992, an 18-year-old student opened fire at Simon's Rock College of Bard in Great Barrington, Massachusetts. Before turning himself in to police, he killed a student and a teacher and wounded four others.",2,4,6,No,Asian American,Male,42.19358268,-73.36216339,1992,12,51,Monday
279,280,Schuyler County Office Building,"Watkins Glen, New York",1992-10-15,"On October 15, 1992, a 50-year-old truck driver, upset about his wages being garnished for back-payments of child support, entered the Schuyler County Office Building in Watkins Glen, New York. He killed four female social workers before committing suicide.",5,0,4,No,White American or European American,Male,42.38013875,-76.86724659,1992,10,42,Thursday
280,281,Palo Duro High School,"Amarillo, Texas",1992-09-11,"On September 11, 1992, a fight broke out in Amarillo, Texas between two students that ended with one student, a 17-year-old male, pulling a gun out and shooting. Six students were wounded before the shooter was taken into custody.",0,6,6,Unknown,Unknown,Male,35.18322484,-101.88056879999999,1992,9,37,Friday
281,282,Lindhurst High School,"Olivehurst, California",1992-05-01,"On May 1, 1992, a 20-year-old former student of Lindhurst High School in Olivehurst, California began shooting at students and teachers in classrooms. Seeking revenge for a failing grade, the shooter first killed the teacher who gave him that grade, later killing three students and injuring ten others before being arrested. ",4,10,14,Yes,White American or European American,Male,39.08174985,-121.55495390000002,1992,5,18,Friday
282,283,Royal Oak Post Office,"Royal Oak, Michigan",1991-11-14,"On November 14, 1991, a 31-year old former postal worker opened fire at the post office in Royal Oak, Michigan, his former workplace. He killed his four supervisors and wounded five co-workers before committing suicide.",5,5,9,Yes,White American or European American,Male,42.50840203,-83.15387427,1991,11,46,Thursday
283,284,University of Iowa,"Iowa City, Iowa",1991-11-01,"On November 1, 1991, a 28-year-old astrophysics researcher opened fire on academics at a meeting at the University of Iowa in Iowa City. The shooter fatally wounded three professors on his dissertation committee, an academic affairs officer, and the researcher who received the award he felt he deserved, and as well as paralyzing a student employee before committing suicide.",6,1,6,No,Asian American,Male,41.65589405,-91.53117986,1991,11,44,Friday
284,285,"Luby's Cafeteria in Killeen, Texas","Killeen, Texas",1991-10-16,"On October 16, 1991, a 35-year old unemployed seaman drove his truck through a window at Luby's Cafeteria in Killeen, Texas. He then opened fire, killing twenty-three people and wounding twenty before turning the gun on himself.",24,20,43,Yes,White American or European American,Male,31.07925506,-97.73392317,1991,10,42,Wednesday
285,286,Ridgewood Post Office,"Ridgewood, New Jersey",1991-10-10,"On October 10, 1991, a 35-year old former postal clerk, apparently seeking revenge for his dismissal, killed his former supervisor with sword and shot her boyfriend at their home. Then entered the post office where he used to work in Ridgewood, New Jersey, and killed two of his former co-workers. After a four-hour standoff with police, the shooter was arrested. Before leaving his apartment, the shooter rigged a homemade bomb of explosives to his front door.",3,0,3,Yes,Black American or African American,Male,40.98213277,-74.11264731,1991,10,41,Thursday
286,287,Wat Promkunaram Buddhist Temple,"Phoenix, Arizona",1991-08-09,"On the evening on August 9, 1991, two high school students in the Air Force ROTC program entered a Buddhist monastery intending to steal cameras, golden religious paraphernalia and cash from the monks. After looting the monastery and holding the monks hostage, the boys decided to shoot and kill all nine occupants of the house to leave no witnesses of their crime.",9,0,9,No,Asian American/Some other race,Male,33.57145875,-112.0904854,1991,8,32,Friday
287,288,GMAC Loan Office,"Jacksonville, Florida",1990-06-17,"After fatally shooting a man and woman and wounding two teenage boys, the 42-year-old gunman robbed a convenience store at gunpoint on June 17, 1990. The next day, the shooter opened fire at the General Motors Acceptance Corporation car loan office in Jacksonville, Florida, killing seven employees and a customer and injuring four others before turning the gun on himself.",12,6,17,No,Black American or African American,Male,30.33216122,-81.67576993,1990,6,24,Sunday
288,289,Standard Gravure Corporation,"Louisville, Kentucky",1989-09-14,"On September 14. 1989, a 47-year-old man, disgruntled by his work situation and suffering from mental illness, entered the Standard Gravure printing company in Louisville, Kentucky, his former workplace, and began shooting. The incident ended with eight fatalities and twelve gun injuries before the shooter ending his own life with a bullet.",9,12,20,Yes,White American or European American,Male,38.249432,-85.72624300000001,1989,9,37,Thursday
289,290,Orange Glenn Post Office,"Escondido, California",1989-08-10,"On August 10, 1989, a 52-year-old ""model"" postal worker murdered his wife in their home before arriving to work at the Orange Glen Post Office in Escondido, California. He then shot and killed two co-workers and injured another before taking the gun to his own head, dying later in a hospital.",4,1,4,No,White American or European American,Male,33.13439925,-117.07225279999999,1989,8,32,Thursday
290,291,Cleveland Elementary School,"Stockton, California",1989-01-17,"On January 17, 1989, an unemployed 24-year-old man arrived to Cleveland Elementary School in Stockton, California. He set his car on fire in the parking lot, before entering the school to begin shooting. The shooter killed five students and injured thirty others including a teacher, before killing himself.",6,30,35,Yes,White American or European American,Male,37.96631812,-121.30187749999999,1989,1,3,Tuesday
291,292,New Orleans Downtown Post Office,"New Orleans, Louisiana",1988-12-14,"On December 14, 1988, a 39-year-old post office employee entered the main post office in downtown New Orleans, Louisiana, where he worked with a shotgun. He took his ex-girlfriend as a hostage and was able to hold off police and FBI agents for 13 hours until he surrendered. He injured three co-workers and one FBI agent.",0,4,4,Unknown,Unknown,Male,30.0687242,-89.93147412,1988,12,50,Wednesday
292,293,Oakland Elementary School,"Greenwood, South Carolina",1988-09-26,"On September 26, 1988, an unemployed 19-year-old man entered the Oakland Elementary School in Greenwood, South Carolina. He was arrested after killing two 8-year-old girls and injuring seven other students and two teachers. He was later found ""guilty but mentally ill.""",2,9,11,Yes,White American or European American,Male,34.1928952,-82.15355508,1988,9,39,Monday
293,294,Comet Auto Parts and Montefiore School,"Chicago, Illinois",1988-09-22,"On September 22, 1988, a 40-year-old Vietnam veteran shot and killed two employees at a Comet Auto Parts in Chicago, Illinois before heading to the Montefiore School to continue the shooting. He injured a city worker and fatally wounded a custodian at the school before he was discovered by police. The shooter opened fire on the officers, injuring one and killing another.",5,2,6,No,Black American or African American,Male,41.83928045,-87.68818145,1988,9,38,Thursday
294,295,Hubbard Woods Elementary School,"Winnetka, Illinois",1988-05-20,"On May 20, 1988, a 30-year-old woman entered the Hubbard Woods Elementary School with the intent to target her former in-laws' children who she believed attended the school. After shooting a boy in a bathroom down the hall, she entered a second-grade classroom and began shooting the students, killing one and injuring five more. She fled the scene and entered a home, where she injured another young man before turning the gun on herself in a bedroom.",2,7,8,Yes,White American or European American,Female,42.10648807,-87.74211141,1988,5,20,Friday
295,296,Electromagnetic Systems Laboratory (ESL),"Sunnyvale, California",1988-02-16,"On February 16, 1988, a 39-year-old man arrived at his former workplace, ESL in Sunnyvale, California, and began shooting his ex-coworkers in the parking lot. After shooting through the security mechanisms on the doors of the facility, he opened fire on office equipment and employees, including a female colleague that issued a restraining order against the shooter about a week prior. The incident ended with seven fatalities and four injuries, the female coworker among the injured.",7,4,11,Yes,White American or European American,Male,37.38344257,-122.02561850000001,1988,2,7,Tuesday
296,297,Pinellas Park High School,"Pinellas Park, Florida",1988-02-11,"On February 11, 1988, two students age 15 and 16 were confronted by school personnel regarding firearms they had stolen and carried on campus. The shooting began after the staff attempted to physically restrain the students, and ended with an assistant principal killed and two others injured.",1,2,3,No,White American or European American,Male,27.84887061,-82.71058000000001,1988,2,6,Thursday
297,298,Palm Bay Shopping Centers,"Palm Bay, Florida",1987-04-23,"On April 23, 1987, a 59-year-old retired librarian in Palm Bay, Florida began a shooting spree in his neighborhood, where he shot and injured several of his neighbors. He continued the shooting at two local shopping centers, killing a total of four civilians and two police officers, and injuring nine others.",6,14,20,Yes,White American or European American,Male,27.98388983,-80.66662713,1987,4,17,Thursday
298,299,Fergus County High School,"Lewistown, Montana",1986-12-04,"On December 4, 1986, a 14-year-old student at Fergus County High School in Lewistown, Montana, disgruntled with his grades, fatally shot a teacher and wounded a vice principal and two students as he fled. He was arrested at his home an hour later.",1,3,4,Yes,White American or European American,Male,47.03740653,-109.4844918,1986,12,49,Thursday
299,300,"Post office in Edmond, Oklahoma","Edmond, Oklahoma",1986-08-20,"On August 20, 1986, a 44-year-old postal worker in Edmond, Oklahoma opened fire on his supervisors and coworkers at the post office in which he worked. He killed fourteen postal employees and wounded six others before committing suicide.",15,6,20,Yes,White American or European American,Male,35.66889223,-97.41438792,1986,8,34,Wednesday
300,301,New York Technical College,"Brooklyn, New York",1986-08-12,"On August 12, 1986, a 29-year civil technology student  at New York Technical College in Brooklyn went to the school thinking his supervisor was the reason he had not received his financial aid. He killed the supervisor and wounded four other people. He was later arrested by the police.",1,4,5,Yes,Black American or African American,Male,40.679276,-73.939513,1986,8,33,Tuesday
301,302,Atlanta Post Office,"Atlanta, Georgia",1985-03-06,"On March 6, 1985, a 30-year-old employee at the Atlanta Post Office, opened fire in the mail sorting area killing two of his coworkers and wounding a third one before he was subdue by other postal workers.",2,1,3,Yes,Black American or African American,Male,33.7629969,-84.4231328,1985,3,10,Wednesday
302,303,Goddard Junior High School,"Goddard, Kansas",1985-01-21,"On January 21, 1985, a 14-year-old student entered Goddard Junior High School in Goddard, Kansas. The student killed the principal and injured two teachers and another student. He was arrested 90 minutes later by a policeman in a field just south of Goddard.",1,3,4,Yes,White American or European American,Male,37.67129418,-97.55070476,1985,1,4,Monday
303,304,McDonald's restaurant in San Ysidro,"San Ysidro, California",1984-07-18,"On July 18, 1984, a 41-year-old unemployed man, walked into a McDonald's restaurant in San Ysidro, California, killing twenty-one people and injuring nineteen others. The shooter was killed at the scene by a SWAT team sniper perched on the roof next door.",22,19,40,Yes,White American or European American,Male,32.555556,-117.047656,1984,7,29,Wednesday
304,305,Ianni's Club in Dallas,"Dallas, Texas",1984-06-29,"On June 29, 1984, a 39-year-old man who was rejected by a dance partner at Ianni's Dance Club in Dallas, Texas, left the club and returned with a semiautomatic pistol killing the woman and five other patrons and seriously wounded a seventh person. ",6,1,7,Yes,White American or European American,Male,32.79480596,-96.76631094,1984,6,26,Friday
305,306,49th Street Elementary School,"Los Angeles, California",1984-02-24,"On February 24, a 28-year-old man began shooting at children and staff leaving 49th Street Elementary School in South Central Los Angeles in California. The gunman positioned himself in a room on the second story of his home and killed two people and wounded twelve others.",3,12,14,Yes,Black American or African American,Male,34.17622092,-118.53995420000001,1984,2,8,Friday
306,307,Johnston Post Office,"Johnston, South Carolina",1983-08-19,"On August 19, 1983, a 55-year-old former postal worker went into the Johnston Post Office in South Carolina three months after he had resigned. He killed the local postmaster and wounded three others. It was the last day at work for the postmaster.",1,3,4,Yes,White American or European American,Male,33.83272887,-81.8051584,1983,8,33,Friday
307,308,Wah Mee Club in Seattle,"Seattle, Washington",1983-02-18,"On February 18, 1983, three man between the ages of 22 and 24 entered the Wah Mee gambling club in Seattle, Washington, shooting fourteen people. Thirteen victims lost their lives, but one survived to testify.",13,1,14,Unknown,Asian American,Male,47.62199575,-122.323646,1983,2,7,Friday
308,309,Welding shop in Miami,"Miami, Florida",1982-08-20,"On August 20, 1982, a 51-year-old teacher on psychiatric leave opened fire inside a welding shop in Miami, Florida killing eight employees and wounding another three. The shooter was later shot and run down by two witnesses while he was cycling away from the crime scene.",9,3,11,Yes,White American or European American,Male,25.79653943,-80.20840397,1982,8,33,Friday
309,310,Valley High School,"Las Vegas, Nevada",1982-03-19,"On March 19, 1982, a 17-year-old student walked into Valley High School in Las Vegas, Nevada. The shooter shot and killed a teacher and injured two students.",1,2,3,Yes,White American or European American,Male,36.18931923,-115.3264875,1982,3,11,Friday
310,311,University of South Carolina,"Columbia, South Carolina",1979-10-06,"On October 6, 1979, a 19-year-old student at University of South Carolina opened fire at a homecoming weekend fraternity party, killing two students and wounding five others.",2,5,7,Unknown,Black American or African American,Male,34.05098834,-80.82077527,1979,10,40,Saturday
311,312,Grover Cleveland Elementary School,"San Diego, California",1979-01-29,"On January 29, 1979, a 16-year-old opened fire at children waiting to enter Grover Cleveland Elementary School. The shooter put herself by a window in her home and began shooting across the street while the children were waiting outside for the principal to open the gate.  The principal and a custodian were killed and eight children and a police officer were injured.",2,9,11,Yes,White American or European American,Female,32.86357277,-117.1281628,1979,1,5,Monday
312,313,Cal State Fullerton,"Fullerton, California",1976-07-12,"On July 12, 1976, a 37-year-old custodian at California State University in Fullerton open fired in the library's first-floor lobby and at the building's Instructional Media Center killing seven people and wounding two others. ",7,2,9,Yes,White American or European American,Male,33.88404244,-117.92785,1976,7,29,Monday
313,314,Los Angeles Computer Learning Center,"Los Angeles, California",1976-02-19,"On February 19, 1976, a 18-year-old student at a Los Angeles computer school opened fire during a test at his fellow students with a shotgun, killing one student and wounding several others. When trying to escape, he was apprehended by a security guard who exchanged fire with the shooter, leaving him critically wounded. The security guard was injured during the exchange.",1,7,8,Unknown,White American or European American,Male,34.17622092,-118.53995420000001,1976,2,8,Thursday
314,315,Olean High School,"Olean, New York",1974-12-30,"On December 30, 1974, a 17-year-old honor student and member of the school's rifle team, entered Olean High School, looked himself in a room on the school's third floor, where he shot a custodian inside the building and nine people on the streets below. Following the shooting, police had found homemade propane bombs in Barbaro's bedroom, as well as bomb recipes and a journal that detailed his plans of the shooting.",3,7,10,No,White American or European American,Male,42.08185369,-78.43213922,1974,12,1,Monday
315,316,Clara Barton Elementary School,"Chicago, Illinois",1974-01-17,"On January 17, 1974, a 14-year-old student entered Clara Barton Elementary School in Chicago, Illinois and killed the principal and wounded three others before he was seized by a teacher when both his guns jammed. Apparently, the student was angry at the fact that he had been expelled from the school and transferred to a social adjustment center earlier that week.",1,3,4,Yes,Unknown,Male,41.83928045,-87.68818145,1974,1,3,Thursday
316,317,New Orleans Police Shootings,"New Orleans, Louisiana",1972-12-31,"On New Year's Eve in 1972, a 23-year-old ex-Navy dental technician went to the central lockup New Orleans Police Department and shot four policeman that day.  Seven days later on January 7, 1973, the shooter shot a grocer and entered the Downtown Howard Johnson Hotel where he shot seventeen people before killed him at the top of the hotel roof.",10,13,22,Yes,Black American or African American,Male,30.0687242,-89.93147412,1972,12,52,Sunday
317,318,St. Aloysius Church,"Spokane, Washington",1971-11-11,"On November 11, 1971, a former MIT student entered St. Aloysius Roman Catholic Church on the Gonzaga University campus. The shooter killed the caretaker and wounded four more people before he was killed by police.",2,4,5,Yes,White American or European American,Male,47.67367375,-117.41598429999999,1971,11,45,Thursday
318,319,Rose-Mar College of Beauty,"Mesa, Arizona",1966-11-12,"On November 12, 1966, an 18-year-old high school student entered the Rose-Mar College of Beauty in Mesa, Arizona, ordering his victims to lay on the ground in a circle. The gunman shot and killed four women and a child and injured another woman and an infant. He considered a few sites, like his school, where he thought of wiping out the teachers. Finally, he settled on the Rose-Mar College of Beauty, where he thought he'd get a nice large group of victims.",5,1,6,Yes,White American or European American,Male,33.42268696,-111.8163202,1966,11,45,Saturday
319,320,University of Texas at Austin,"Austin, Texas",1966-08-01,"On August 1, 1966, a 25-year-old engineering student at the University of Texas in Austin killed sixteen people and wounded thirty-two others in and around the Tower of the University of Texas. Prior to commencing the mass shootings at the University, the student and former U.S. Marine, had murdered both his wife and mother in Austin, Texas.",17,32,48,Yes,White American or European American,Male,30.198887300000003,-97.84415949,1966,8,31,Monday
